iter	Passed	Remaining
461	791	921
462	792	919
463	793	916
464	795	914
465	796	912
466	797	909
467	798	907
468	799	905
469	800	903
470	802	901
471	804	900
472	806	898
473	807	895
474	808	893
475	810	891
476	811	889
477	812	887
478	814	885
479	817	886
480	820	885
481	821	883
482	823	880
483	824	878
484	825	876
485	826	874
486	827	872
487	829	870
488	830	867
489	832	866
490	833	864
491	835	862
492	836	860
493	837	858
494	838	855
495	840	853
496	841	851
497	843	849
498	844	847
499	845	845
500	848	844
501	851	844
502	852	842
503	853	840
504	854	838
505	856	836
506	857	833
507	858	831
508	860	829
509	862	828
510	864	827
511	866	826
512	868	824
513	870	823
514	872	821
515	873	819
516	874	816
517	875	814
518	877	813
519	879	811
520	881	810
521	882	807
522	883	805
523	884	803
524	885	801
525	886	798
526	887	796
527	888	794
528	889	792
529	891	790
530	893	788
531	894	786
532	895	784
533	896	782
534	897	780
535	899	778
536	900	776
537	901	773
538	902	771
539	903	769
540	904	767
541	906	765
542	908	764
543	909	762
544	910	759
545	911	757
546	912	755
547	913	753
548	914	751
549	916	749
550	917	747
551	918	745
552	919	743
553	920	741
554	923	740
555	924	738
556	925	736
557	926	734
558	927	732
559	928	729
560	930	727
561	931	725
562	932	723
563	933	721
564	935	719
565	936	717
566	938	716
567	939	714
568	940	712
569	942	710
570	943	708
571	944	706
572	945	704
573	946	702
574	947	700
575	948	698
576	950	696
577	951	694
578	953	693
579	954	691
580	955	689
581	957	687
582	958	685
583	959	683
584	960	681
585	961	679
586	963	677
587	964	675
588	965	673
589	966	671
590	968	670
591	969	668
592	970	666
593	972	664
594	973	662
595	974	660
596	975	658
597	976	656
598	978	654
599	979	652
600	980	650
601	981	649
602	983	647
603	985	645
604	986	643
605	987	641
606	988	639
607	989	638
608	991	636
609	992	634
610	993	632
611	995	630
612	996	629
613	998	627
614	999	625
615	1001	624
616	1002	622
617	1003	620
618	1004	618
619	1005	616
620	1006	614
621	1007	612
622	1009	610
623	1010	608
624	1011	606
625	1013	605
626	1014	603
627	1015	601
628	1017	599
629	1018	597
630	1019	596
631	1020	594
632	1021	592
633	1022	590
634	1024	588
635	1025	586
636	1026	584
637	1027	583
638	1029	581
639	1030	579
640	1031	577
641	1032	575
642	1033	573
643	1034	571
644	1035	569
645	1036	567
646	1037	566
647	1038	564
648	1039	562
649	1040	560
650	1041	558
651	1043	557
652	1045	555
653	1046	553
654	1047	551
655	1048	549
656	1049	548
657	1050	546
658	1052	544
659	1053	542
660	1054	540
661	1055	538
662	1056	536
663	1057	535
664	1059	533
665	1060	531
666	1061	529
667	1062	527
668	1063	525
669	1064	524
670	1065	522
671	1066	520
672	1067	518
673	1068	516
674	1069	514
675	1070	513
676	1071	511
677	1073	509
678	1074	508
679	1075	506
680	1076	504
681	1077	502
682	1078	500
683	1079	498
684	1080	497
685	1081	495
686	1082	493
687	1083	491
688	1084	489
689	1086	487
690	1087	486
691	1088	484
692	1090	482
693	1091	481
694	1091	479
695	1093	477
696	1094	475
697	1095	473
698	1096	471
699	1097	470
700	1098	468
701	1099	466
702	1100	464
703	1101	462
704	1102	461
705	1104	459
706	1105	457
707	1106	456
708	1107	454
709	1108	452
710	1109	450
711	1110	449
712	1110	447
713	1112	445
714	1113	443
715	1114	441
716	1115	440
717	1116	438
718	1118	437
719	1119	435
720	1120	433
721	1121	431
722	1122	430
723	1123	428
724	1125	426
725	1126	424
726	1127	423
727	1128	421
728	1129	419
729	1130	418
730	1131	416
731	1132	414
732	1134	413
733	1135	411
734	1136	409
735	1137	407
736	1138	406
737	1139	404
738	1140	402
739	1141	401
740	1142	399
741	1143	397
742	1144	395
743	1145	394
744	1146	392
745	1147	390
746	1149	389
747	1150	387
748	1151	385
749	1152	384
750	1153	382
751	1154	380
752	1155	378
753	1156	377
754	1157	375
755	1158	373
756	1159	372
757	1160	370
758	1161	368
759	1162	367
760	1164	365
761	1165	363
762	1166	362
763	1167	360
764	1168	358
765	1169	357
766	1170	355
767	1171	353
768	1172	352
769	1173	350
770	1174	348
771	1175	347
772	1176	345
773	1177	343
774	1179	342
775	1180	340
776	1181	339
777	1182	337
778	1183	335
779	1184	334
780	1185	332
781	1186	330
782	1187	329
783	1188	327
784	1189	325
785	1190	324
786	1191	322
787	1193	321
788	1195	319
789	1196	318
790	1197	316
791	1198	314
792	1199	313
793	1200	311
794	1201	309
795	1202	308
796	1203	306
797	1204	304
798	1205	303
799	1206	301
800	1208	300
801	1210	298
802	1211	297
803	1212	295
804	1213	293
805	1214	292
806	1215	290
807	1216	288
808	1217	287
809	1218	285
810	1219	284
811	1220	282
812	1221	280
813	1222	279
814	1224	277
815	1225	276
816	1226	274
817	1227	273
818	1228	271
819	1229	269
820	1230	268
821	1231	266
822	1232	265
823	1233	263
824	1235	262
825	1236	260
826	1238	259
827	1240	257
828	1242	256
829	1243	254
830	1244	253
831	1245	251
832	1246	249
833	1247	248
834	1248	246
835	1249	245
836	1250	243
837	1251	241
838	1252	240
839	1254	238
840	1255	237
841	1256	235
842	1257	234
843	1258	232
844	1259	231
845	1260	229
846	1261	227
847	1262	226
848	1263	224
849	1265	223
850	1266	221
851	1268	220
852	1269	218
853	1271	217
854	1272	215
855	1273	214
856	1274	212
857	1275	211
858	1277	209
859	1278	208
860	1279	206
861	1280	205
862	1281	203
863	1282	201
864	1284	200
865	1287	199
866	1288	197
867	1289	196
868	1290	194
869	1291	193
870	1292	191
871	1293	189
872	1295	188
873	1296	186
874	1297	185
875	1299	183
876	1301	182
877	1303	181
878	1304	179
879	1305	178
880	1306	176
881	1308	175
882	1310	173
883	1312	172
884	1336	173
885	1337	172
886	1339	170
887	1340	169
888	1341	167
889	1343	166
890	1344	164
891	1345	162
892	1349	161
893	1350	160
894	1352	158
895	1353	157
896	1354	155
897	1356	154
898	1357	152
899	1358	150
900	1360	149
901	1363	148
902	1365	146
903	1366	145
904	1367	143
905	1369	142
906	1370	140
907	1371	138
908	1372	137
909	1373	135
910	1376	134
911	1377	132
912	1378	131
913	1380	129
914	1381	128
915	1382	126
916	1383	125
917	1384	123
918	1385	122
919	1387	120
920	1388	119
921	1389	117
922	1391	116
923	1393	114
924	1394	113
925	1396	111
926	1397	110
927	1399	108
928	1400	107
929	1401	105
930	1403	104
931	1405	102
932	1408	101
933	1411	99
934	1412	98
935	1414	96
936	1415	95
937	1417	93
938	1418	92
939	1419	90
940	1422	89
941	1424	87
942	1425	86
943	1427	84
944	1429	83
945	1430	81
946	1432	80
947	1433	78
948	1434	77
949	1437	75
950	1440	74
951	1441	72
952	1443	71
953	1445	69
954	1447	68
955	1449	66
956	1451	65
957	1452	63
958	1454	62
959	1456	60
960	1457	59
961	1459	57
962	1460	56
963	1462	54
964	1463	53
965	1465	51
966	1466	50
967	1468	48
968	1470	47
969	1471	45
970	1472	43
971	1474	42
972	1475	40
973	1476	39
974	1477	37
975	1480	36
976	1481	34
977	1483	33
978	1484	31
979	1486	30
980	1488	28
981	1489	27
982	1490	25
983	1492	24
984	1494	22
985	1496	21
986	1497	19
987	1498	18
988	1499	16
989	1500	15
990	1502	13
991	1503	12
992	1504	10
993	1505	9
994	1507	7
995	1508	6
996	1510	4
997	1511	3
998	1513	1
999	1514	0
